id,model,decoding,repetition_penalty,attack,domain,generation
2,hybrid,none,none,polish_75,blog,"Summer TV used to be a wasteland of repeats, but now boasts two exciting new shows. I've been religiously watching both for the past week. The first, 'Blow Out,' is a gloriously over-the-top concept that defies expectations with its lack of gay characters. Hairstylist Jonathan Antin dreams of expanding his popular West Hollywood salon to Beverly Hills, but his enthusiasm is both infectious and cringe-worthy. As I flipped through channels, I caught a glimpse of Jonathan, equally narcissistic and dull, surveying an empty space on Rodeo Drive. His voice, dripping with self-importance, declared, 'This will be the greatest salon in history!' and I was hooked. Not since 'Rocco' have I found such a trainwreck compelling viewing."
4,hybrid,none,none,polish_75,blog,"Kindness of strangers... Attempted laundry today with the kids in tow and realized how quickly the simplest things can become a frustrating ordeal. I also learned how remarkably sweet total strangers can be for no reason other than to be kind. Trust me, it wasn't like they were trying to get into my pants or anything. I had kid drool all over me and was wearing my 'wash-day' outfit... Also, I'm not sure I'll ever be bathing again, so it's not like there was even an olfactory incentive there! I am currently composing a post and simultaneously watching the collected No Doubt videos. I am doing both of these things from the comfort of my desk in my room."
5,hybrid,none,none,polish_75,blog,"It's 11:14 PM and I'm currently in my bedroom, fixing the personal computer of the personnel director from my job. While I don't mind helping out, I can't help but wonder how often I find myself fixing someone else's computer as a favor. I'm glad to be able to love and serve people in this way, but where is the line drawn when it comes to being taken advantage of? The past couple of weeks, I've been staying up late reading and such, so I was looking forward to getting some rest, until I realized it would be more practical to get this computer back to its owner. *laugh* No rest for the weary, right? So, I found myself watching Joe Schmo 2 again tonight."
6,hybrid,none,none,polish_75,blog,"Remind me, what did I write about before this? Or, a continuation in the 'is this a date?' saga. So, after the weird lunch, my confidence shook, I forgot to tell you guys an important piece of the story. Before Pat shows up to lunch, Dustin starts talking about what a nice guy Pat is and how he's trying to find a girlfriend for him. I'm listening and nodding, realizing that we're talking more about finding Dustin's best friend, a girl, than discussing whatever it is you discuss with a stranger over pink lemonade. I excused myself to the bathroom, looked in the mirror, and silently asked myself: am I being pawned off on the other guy? Is this what happens now?"
7,hybrid,none,none,polish_75,blog,"I wish people would think before acting. I'd like everyone to make a commitment to think before getting out of bed in the morning. If they're not prepared, I'd prefer they go back to bed and sleep. I'm tired of stupid people. I'm not the smartest person in the world, but I'm not talking about things that require a lot of brainpower. Let's focus on a few specific types of stupidity and save some for another day."
9,hybrid,none,none,polish_75,blog,"She's saying I'm on the run, I'm chasing guys for fun. ~The Offspring haven't updated in a while, but not much to say... Went to the cove to see SuperNothing, they were good as usual, got to chill with Tiago. Sat. Went to work and then out with Joe and Rach, met up with Steve, Tiago, and Tom. Came home at like quarter to 12 and woke up the next morning at quarter to 7 for a meet. Got there a little late, but it's all good, did my full-on floor, didn't fall, second on floor and vault, and third on beam, 29.45 all around, which isn't bad because my meets get better as the season goes on."
11,hybrid,none,none,polish_75,blog,"I believe that monopoly has run its course in my life, and I vow to never again lay my hands on that damn iron (not a hot one, but the piece in the game). Tonight, Andy beat me by a few small dollars and won the faro game, or maybe I let him win on account of him leaving in a few short hours and me wanting him to feel good on his last night here. Well, however the story goes, it can't compare to this Texas-sized headache I have at the moment. I've taken some Aleve and I must say they are doing the trick. All I need now is some well-deserved R&R. Your telephone's the one that helped me wrap the cord around my neck... At the drive-in."
12,hybrid,none,none,polish_75,blog,"Well, today's been a long day. We had to drive home from Indiana. I guess I'm going to have to be choosy about what I write about because I could really take up a lot of time and energy, and I just don't have enough. First off, camp was awesome and even better than I could have expected. God's been doing so much stuff in my life lately, and it's just awesome. I've sort of turned over a new leaf, I guess, but anyway, back to the beginning. We arrived at the Twiggs' house on Friday evening and we stayed until we left for camp on Monday. Most of what we did was go to the fair, church, a parade, Walmart, and watched movies."
13,hybrid,none,none,polish_75,blog,"Today is my last day of summer vacation! 😭 I have a dentist appointment at 9 AM. 🤢 I'd rather get it over with than try to schedule it during the first month of my surgery rotation. I'm definitely nervous and scared. 😨 As a perfectionist, I love excelling at everything I do, but starting new things is a challenge. 🤪 I hate being a pawn (like I told Cassie: ""I'm going to be the only pawn on the chessboard who insists on moving like a knight""). 😩"
15,hybrid,none,none,polish_75,blog,"Attitude: indifferent, looking forward to tonight. Been a long, hard day in the trenches here today, folks. Little time to write, but good to see Tigger (now AKCRON) taking the reins and discussing matters. Not much to say about it, really. Yesterday's Shakespeare on the Green play was lovely, but I had to leave before closing curtain. It's a shame, as I've always wanted to see the entire performance. AKCRON is right about the shower issues, though - it's a real pain when people don't take their turns and make things uncomfortable. Hopefully, someday I'll get to see the full show."
