id,model,decoding,repetition_penalty,attack,domain,generation
1,hybrid,none,none,polish_20,blog,"Another week flew by me. I drove by the new house yesterday and the front window was covered in boxes. We may get the keys at closing, I'm getting so excited. If all goes well this week, we will be set for closing a week from Wednesday. I was up until after 3 00 am last night watching movies with Bethany. There has been a lot of movie watching going on around here lately. Here's my rundown; last night we watched thirteen, a movie every mother of a teen should see. It was better than I expected. Then we watched Gigli, yeah it was just as bad as the media said it was, but we had to see for ourselves."
2,hybrid,none,none,polish_20,blog,"Summer television used to be a barren landscape of reruns and mediocrity. However, two new shows have recently caught my attention, and I've been devoted to them for the past week. A peculiar concept has piqued my interest: hairstylist Jonathan Antin aims to establish a second location of his highly successful West Hollywood salon in Beverly Hills. Initially, I wouldn't have given it a second thought, but while channel-surfing, I stumbled upon Jonathan, equally self-absorbed and unremarkable, gazing at an empty space on Rodeo Drive, boasting (in a public voice) ""I will build here the greatest salon in the history of the world!"" and I was hooked. Not since Rocco have I found a character so cringe-worthy yet captivating to watch."
3,hybrid,none,none,polish_20,blog,"What a week ago, my right shoulder has been afflicted with tendonitis. It's located under my shoulder blade, so when I move my arm too much, mainly when using a mouse on a computer, it kills me. I can barely muster the strength to draw anything. The lack of sleep adds to my pain. I'm not too happy right now, but I'll get better."
4,hybrid,none,none,polish_20,blog,"Kindness of strangers is a remarkable quality that can quickly turn the simplest tasks into a daunting ordeal. I learned today, while attempting to do laundry with the kids, how sweet total strangers can be, without any expectation of reward or recognition. It wasn't as if they were trying to gain something from me; they simply wanted to be kind. I had a kid spit up on me and was wearing my ""wash-day"" outfit, which made things more challenging. I'm not sure I'll ever be bathing again, so there was no real incentive to do so. Right now, I'm doing two things simultaneously  composing a post and watching a video. I'm accomplishing both tasks at my desk in my room."
5,hybrid,none,none,polish_20,blog,"It's 11 14 PM MST, and I'm sitting in my bedroom, fixing the personal computer of my job's personnel director. While I don't mind doing it, I sometimes wonder at how often I find myself fixing someone else's computer as a favor. I'm grateful to be able to love and serve people this way, but where is the line drawn where it becomes too much and you're being taken advantage of? The past couple of weeks, I've been staying up late reading and such, so I was looking forward to hitting the sack early, until I realized it would be more practical to get this computer out of my bedroom and back into its owner's hands. *laughs* No rest for the weary, right? So, I found myself watching Joe Schmo 2 again tonight."
6,hybrid,none,none,polish_20,blog,"Remind me, what did I write about before this? Or, a continuation in the 'is this a date?' saga, so after the weird lunch, my confidence shook, I forgot to tell you guys an important piece of the story. Before Pat shows up to lunch, Dusty starts talking about what a nice guy Pat is and how he's trying to find a girlfriend for him. I'm listening and nodding, realizing that we're talking more about finding Dusty's best friend a girl, than discussing whatever it is you discuss with a stranger over pink lemonade. I excused myself to the bathroom, looked in the mirror, and silently asked myself  Am I being pawned off to the other guy? Is this what happens now?"
7,hybrid,none,none,polish_20,blog,"I would like everyone to think before they act. In fact, I'd like each and every person in the world to make a conscious effort to think before they start their day, and commit to maintaining that mindfulness throughout. If they're not prepared to do so, I'd like it if they'd consider taking a moment to reflect and recharge. I'm tired of being frustrated by people's lack of thoughtfulness. Not that I'm the most intelligent person in the world, but I believe it's fair to call out those who consistently make thoughtless decisions. Let's focus on a few specific types of individuals today, and save some for another time, sound good?"
8,hybrid,none,none,polish_20,blog,"Two issues with the scenario outlined in my previous post  1. While the Bush administration's economic stimulus is stimulating the economy, it is doing so in the wrong way. According to Robert Rubin, who told NPR's Marketplace today, the same stimulus effect could have been achieved without the long-term debt burden by enacting different tax cuts, temporary tax cuts that would benefit low- and middle-income individuals. Ah, Robert Rubin. The sound of his name is music to our ears. Quickly  name one Bush administration cabinet official with Rubin's gravitas. Still thinking? It'll come to you... 2. We cannot give the Republicans control only in wartime because they've cleverly concocted an endless, global ""war on terrorism."""
10,hybrid,none,none,polish_20,blog,"Do you ever have those moments when you reflect on life, feeling bored in math class and wonder what makes you understand math? You realize you exist, and suddenly it hits you - the fact that you're on a random thought train is incredibly pathetic."
11,hybrid,none,none,polish_20,blog,"I believe that my monopoly has run its course in my life, and I vow to never lay my hands on that game again. Tonight, I beat Andy by a few small dollars and won the Farqu game, or maybe I let him win because he left in a few short hours and I wanted him to feel good on his last night here. Well, however the story goes, it can't compare to this Texas-sized headache I have at the moment. I've taken some Aleve, and I must say that they are doing the trick; all I need now is some well-deserved rest and relaxation."
