domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama2,20,0.4444444444444444,0.5555555555555556
blog,chatgpt-roberta,llama2,20,0.3333333333333333,0.6666666666666666
blog,detectgpt,llama2,20,0.25925925925925924,0.7407407407407407
blog,fastdetectgpt,llama2,20,0.37037037037037035,0.6296296296296297
blog,gltr,llama2,20,0.48148148148148145,0.5185185185185185
blog,gpt2-base,llama2,20,0.2962962962962963,0.7037037037037037
blog,gpt2-large,llama2,20,0.48148148148148145,0.5185185185185185
blog,llmdet,llama2,20,0.7777777777777778,0.2222222222222222
blog,radar,llama2,20,0.9259259259259259,0.07407407407407407
blog,zerogpt,llama2,20,0.37037037037037035,0.6296296296296297
email_content,binoculars,llama2,20,0.3333333333333333,0.6666666666666666
email_content,chatgpt-roberta,llama2,20,0.09523809523809523,0.9047619047619048
email_content,detectgpt,llama2,20,0.19047619047619047,0.8095238095238095
email_content,fastdetectgpt,llama2,20,0.2857142857142857,0.7142857142857143
email_content,gltr,llama2,20,0.3333333333333333,0.6666666666666666
email_content,gpt2-base,llama2,20,0.42857142857142855,0.5714285714285714
email_content,gpt2-large,llama2,20,0.5714285714285714,0.42857142857142855
email_content,llmdet,llama2,20,0.8571428571428571,0.14285714285714285
email_content,radar,llama2,20,0.5714285714285714,0.42857142857142855
email_content,zerogpt,llama2,20,0.14285714285714285,0.8571428571428571
game_review,binoculars,llama2,20,0.6470588235294118,0.35294117647058826
game_review,chatgpt-roberta,llama2,20,0.38235294117647056,0.6176470588235294
game_review,detectgpt,llama2,20,0.5588235294117647,0.4411764705882353
game_review,fastdetectgpt,llama2,20,0.5882352941176471,0.4117647058823529
game_review,gltr,llama2,20,0.5,0.5
game_review,gpt2-base,llama2,20,0.7647058823529411,0.23529411764705882
game_review,gpt2-large,llama2,20,0.7352941176470589,0.2647058823529412
game_review,llmdet,llama2,20,0.7352941176470589,0.2647058823529412
game_review,radar,llama2,20,0.8235294117647058,0.17647058823529413
game_review,zerogpt,llama2,20,0.3235294117647059,0.6764705882352942
news,binoculars,llama2,20,0.3125,0.6875
news,chatgpt-roberta,llama2,20,0.75,0.25
news,detectgpt,llama2,20,0.625,0.375
news,fastdetectgpt,llama2,20,0.25,0.75
news,gltr,llama2,20,0.65625,0.34375
news,gpt2-base,llama2,20,0.34375,0.65625
news,gpt2-large,llama2,20,0.5,0.5
news,llmdet,llama2,20,0.65625,0.34375
news,radar,llama2,20,0.25,0.75
news,zerogpt,llama2,20,0.4375,0.5625
paper_abstract,binoculars,llama2,20,0.2894736842105263,0.7105263157894737
paper_abstract,chatgpt-roberta,llama2,20,0.23684210526315788,0.7631578947368421
paper_abstract,detectgpt,llama2,20,0.3157894736842105,0.6842105263157895
paper_abstract,fastdetectgpt,llama2,20,0.34210526315789475,0.6578947368421053
paper_abstract,gltr,llama2,20,0.2631578947368421,0.7368421052631579
paper_abstract,gpt2-base,llama2,20,0.21052631578947367,0.7894736842105263
paper_abstract,gpt2-large,llama2,20,0.39473684210526316,0.6052631578947368
paper_abstract,llmdet,llama2,20,0.2894736842105263,0.7105263157894737
paper_abstract,radar,llama2,20,0.13157894736842105,0.868421052631579
paper_abstract,zerogpt,llama2,20,0.15789473684210525,0.8421052631578947
speech,binoculars,llama2,20,0.375,0.625
speech,chatgpt-roberta,llama2,20,0.4166666666666667,0.5833333333333334
speech,detectgpt,llama2,20,0.625,0.375
speech,fastdetectgpt,llama2,20,0.16666666666666666,0.8333333333333334
speech,gltr,llama2,20,0.5833333333333334,0.4166666666666667
speech,gpt2-base,llama2,20,0.2916666666666667,0.7083333333333334
speech,gpt2-large,llama2,20,0.4166666666666667,0.5833333333333334
speech,llmdet,llama2,20,0.7083333333333334,0.2916666666666667
speech,radar,llama2,20,0.6666666666666666,0.3333333333333333
speech,zerogpt,llama2,20,0.5416666666666666,0.4583333333333333
