domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama70b,10,0.019230769230769232,0.9807692307692307
blog,chatgpt-roberta,llama70b,10,0.07692307692307693,0.9230769230769231
blog,detectgpt,llama70b,10,0.23076923076923078,0.7692307692307693
blog,fastdetectgpt,llama70b,10,0.07692307692307693,0.9230769230769231
blog,gltr,llama70b,10,0.2692307692307692,0.7307692307692307
blog,gpt2-base,llama70b,10,0.038461538461538464,0.9615384615384616
blog,gpt2-large,llama70b,10,0.15384615384615385,0.8461538461538461
blog,llmdet,llama70b,10,0.7692307692307693,0.23076923076923078
blog,radar,llama70b,10,0.3269230769230769,0.6730769230769231
blog,zerogpt,llama70b,10,0.0,1.0
email_content,binoculars,llama70b,10,0.023255813953488372,0.9767441860465116
email_content,chatgpt-roberta,llama70b,10,0.09302325581395349,0.9069767441860465
email_content,detectgpt,llama70b,10,0.20930232558139536,0.7906976744186046
email_content,fastdetectgpt,llama70b,10,0.16279069767441862,0.8372093023255814
email_content,gltr,llama70b,10,0.16279069767441862,0.8372093023255814
email_content,gpt2-base,llama70b,10,0.3023255813953488,0.6976744186046512
email_content,gpt2-large,llama70b,10,0.4418604651162791,0.5581395348837209
email_content,llmdet,llama70b,10,0.7906976744186046,0.20930232558139536
email_content,radar,llama70b,10,0.3953488372093023,0.6046511627906976
email_content,zerogpt,llama70b,10,0.06976744186046512,0.9302325581395349
game_review,binoculars,llama70b,10,0.11764705882352941,0.8823529411764706
game_review,chatgpt-roberta,llama70b,10,0.13725490196078433,0.8627450980392157
game_review,detectgpt,llama70b,10,0.29411764705882354,0.7058823529411765
game_review,fastdetectgpt,llama70b,10,0.17647058823529413,0.8235294117647058
game_review,gltr,llama70b,10,0.45098039215686275,0.5490196078431373
game_review,gpt2-base,llama70b,10,0.45098039215686275,0.5490196078431373
game_review,gpt2-large,llama70b,10,0.3137254901960784,0.6862745098039216
game_review,llmdet,llama70b,10,0.7450980392156863,0.2549019607843137
game_review,radar,llama70b,10,0.0784313725490196,0.9215686274509803
game_review,zerogpt,llama70b,10,0.0,1.0
news,binoculars,llama70b,10,0.10204081632653061,0.8979591836734694
news,chatgpt-roberta,llama70b,10,0.4489795918367347,0.5510204081632653
news,detectgpt,llama70b,10,0.5510204081632653,0.4489795918367347
news,fastdetectgpt,llama70b,10,0.16326530612244897,0.8367346938775511
news,gltr,llama70b,10,0.4897959183673469,0.5102040816326531
news,gpt2-base,llama70b,10,0.12244897959183673,0.8775510204081632
news,gpt2-large,llama70b,10,0.1836734693877551,0.8163265306122449
news,llmdet,llama70b,10,0.7551020408163265,0.24489795918367346
news,radar,llama70b,10,0.02040816326530612,0.9795918367346939
news,zerogpt,llama70b,10,0.08163265306122448,0.9183673469387755
paper_abstract,binoculars,llama70b,10,0.11764705882352941,0.8823529411764706
paper_abstract,chatgpt-roberta,llama70b,10,0.0196078431372549,0.9803921568627451
paper_abstract,detectgpt,llama70b,10,0.27450980392156865,0.7254901960784313
paper_abstract,fastdetectgpt,llama70b,10,0.1568627450980392,0.8431372549019608
paper_abstract,gltr,llama70b,10,0.13725490196078433,0.8627450980392157
paper_abstract,gpt2-base,llama70b,10,0.17647058823529413,0.8235294117647058
paper_abstract,gpt2-large,llama70b,10,0.37254901960784315,0.6274509803921569
paper_abstract,llmdet,llama70b,10,0.5294117647058824,0.47058823529411764
paper_abstract,radar,llama70b,10,0.0,1.0
paper_abstract,zerogpt,llama70b,10,0.058823529411764705,0.9411764705882353
speech,binoculars,llama70b,10,0.058823529411764705,0.9411764705882353
speech,chatgpt-roberta,llama70b,10,0.4117647058823529,0.5882352941176471
speech,detectgpt,llama70b,10,0.37254901960784315,0.6274509803921569
speech,fastdetectgpt,llama70b,10,0.13725490196078433,0.8627450980392157
speech,gltr,llama70b,10,0.6862745098039216,0.3137254901960784
speech,gpt2-base,llama70b,10,0.37254901960784315,0.6274509803921569
speech,gpt2-large,llama70b,10,0.29411764705882354,0.7058823529411765
speech,llmdet,llama70b,10,0.9019607843137255,0.09803921568627451
speech,radar,llama70b,10,0.1568627450980392,0.8431372549019608
speech,zerogpt,llama70b,10,0.13725490196078433,0.8627450980392157
