domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama2,slight_major,0.2647058823529412,0.7352941176470589
blog,chatgpt-roberta,llama2,slight_major,0.14705882352941177,0.8529411764705882
blog,detectgpt,llama2,slight_major,0.3235294117647059,0.6764705882352942
blog,fastdetectgpt,llama2,slight_major,0.29411764705882354,0.7058823529411765
blog,gltr,llama2,slight_major,0.5,0.5
blog,gpt2-base,llama2,slight_major,0.17647058823529413,0.8235294117647058
blog,gpt2-large,llama2,slight_major,0.4411764705882353,0.5588235294117647
blog,llmdet,llama2,slight_major,0.7647058823529411,0.23529411764705882
blog,radar,llama2,slight_major,0.5,0.5
blog,zerogpt,llama2,slight_major,0.17647058823529413,0.8235294117647058
email_content,binoculars,llama2,slight_major,0.2631578947368421,0.7368421052631579
email_content,chatgpt-roberta,llama2,slight_major,0.15789473684210525,0.8421052631578947
email_content,detectgpt,llama2,slight_major,0.3684210526315789,0.631578947368421
email_content,fastdetectgpt,llama2,slight_major,0.2631578947368421,0.7368421052631579
email_content,gltr,llama2,slight_major,0.2631578947368421,0.7368421052631579
email_content,gpt2-base,llama2,slight_major,0.3684210526315789,0.631578947368421
email_content,gpt2-large,llama2,slight_major,0.6842105263157895,0.3157894736842105
email_content,llmdet,llama2,slight_major,1.0,0.0
email_content,radar,llama2,slight_major,0.47368421052631576,0.5263157894736842
email_content,zerogpt,llama2,slight_major,0.2631578947368421,0.7368421052631579
game_review,binoculars,llama2,slight_major,0.4666666666666667,0.5333333333333333
game_review,chatgpt-roberta,llama2,slight_major,0.36666666666666664,0.6333333333333333
game_review,detectgpt,llama2,slight_major,0.6,0.4
game_review,fastdetectgpt,llama2,slight_major,0.43333333333333335,0.5666666666666667
game_review,gltr,llama2,slight_major,0.5333333333333333,0.4666666666666667
game_review,gpt2-base,llama2,slight_major,0.6333333333333333,0.36666666666666664
game_review,gpt2-large,llama2,slight_major,0.5333333333333333,0.4666666666666667
game_review,llmdet,llama2,slight_major,0.8333333333333334,0.16666666666666666
game_review,radar,llama2,slight_major,0.36666666666666664,0.6333333333333333
game_review,zerogpt,llama2,slight_major,0.23333333333333334,0.7666666666666667
news,binoculars,llama2,slight_major,0.36363636363636365,0.6363636363636364
news,chatgpt-roberta,llama2,slight_major,0.696969696969697,0.30303030303030304
news,detectgpt,llama2,slight_major,0.6060606060606061,0.3939393939393939
news,fastdetectgpt,llama2,slight_major,0.45454545454545453,0.5454545454545454
news,gltr,llama2,slight_major,0.6060606060606061,0.3939393939393939
news,gpt2-base,llama2,slight_major,0.3939393939393939,0.6060606060606061
news,gpt2-large,llama2,slight_major,0.48484848484848486,0.5151515151515151
news,llmdet,llama2,slight_major,0.8484848484848485,0.15151515151515152
news,radar,llama2,slight_major,0.24242424242424243,0.7575757575757576
news,zerogpt,llama2,slight_major,0.3939393939393939,0.6060606060606061
paper_abstract,binoculars,llama2,slight_major,0.3142857142857143,0.6857142857142857
paper_abstract,chatgpt-roberta,llama2,slight_major,0.2571428571428571,0.7428571428571429
paper_abstract,detectgpt,llama2,slight_major,0.4,0.6
paper_abstract,fastdetectgpt,llama2,slight_major,0.34285714285714286,0.6571428571428571
paper_abstract,gltr,llama2,slight_major,0.3142857142857143,0.6857142857142857
paper_abstract,gpt2-base,llama2,slight_major,0.34285714285714286,0.6571428571428571
paper_abstract,gpt2-large,llama2,slight_major,0.42857142857142855,0.5714285714285714
paper_abstract,llmdet,llama2,slight_major,0.5428571428571428,0.45714285714285713
paper_abstract,radar,llama2,slight_major,0.05714285714285714,0.9428571428571428
paper_abstract,zerogpt,llama2,slight_major,0.2571428571428571,0.7428571428571429
speech,binoculars,llama2,slight_major,0.5,0.5
speech,chatgpt-roberta,llama2,slight_major,0.5666666666666667,0.43333333333333335
speech,detectgpt,llama2,slight_major,0.5333333333333333,0.4666666666666667
speech,fastdetectgpt,llama2,slight_major,0.5666666666666667,0.43333333333333335
speech,gltr,llama2,slight_major,0.7,0.3
speech,gpt2-base,llama2,slight_major,0.4,0.6
speech,gpt2-large,llama2,slight_major,0.4,0.6
speech,llmdet,llama2,slight_major,0.9,0.1
speech,radar,llama2,slight_major,0.43333333333333335,0.5666666666666667
speech,zerogpt,llama2,slight_major,0.5666666666666667,0.43333333333333335
